iter	Passed	Remaining
0	1	189
1	3	186
2	5	162
3	6	150
4	7	144
5	8	137
6	10	133
7	11	131
8	12	127
9	14	130
10	16	133
11	17	131
12	19	130
13	20	127
14	22	125
15	23	122
16	24	119
17	25	117
18	26	114
19	28	115
20	31	117
21	32	116
22	34	114
23	35	112
24	36	109
25	37	107
26	38	105
27	40	104
28	41	102
29	43	101
30	45	101
31	47	100
32	48	98
33	49	96
34	50	94
35	52	92
36	53	90
37	54	88
38	55	87
39	56	85
40	58	84
41	60	83
42	62	82
43	63	80
44	64	78
45	65	77
46	66	75
47	68	73
48	69	71
49	70	70
50	71	69
51	73	68
52	75	66
53	77	65
54	78	64
55	79	62
56	80	61
57	82	59
58	83	57
59	84	56
60	85	54
61	87	53
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	99	44
69	102	43
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	113	33
77	115	32
78	116	31
79	119	29
80	121	28
81	122	26
82	124	25
83	125	23
84	126	22
85	127	20
86	130	19
87	132	18
88	134	16
89	135	15
90	136	13
91	138	12
92	139	10
93	140	8
94	141	7
95	143	5
96	145	4
97	147	3
98	149	1
99	150	0
